"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"46996","SN 2019tbq","05:11:47.381","+52:32:20.19","SN IIP","0.03","WISEA J051147.21+523214.4","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF19acgzzea","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.2865","g-ZTF","2019-10-22 12:08:31.000","ALeRCE","","2019TNSTR2154....1F","2019TNSCR2340....1D",""
"46994","SN 2019tbo","07:30:36.047","+45:12:43.40","SN Ia","0.068","WISEA J073037.11+451243.8","0.068839","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE; ATLAS; Pan-STARRS; ZTF","ZTF19achagst","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.8797","r-ZTF","2019-10-22 11:45:50.000","ALeRCE","","2019TNSTR2154....1F","2019TNSCR2340....1D",""
"46982","SN 2019tbc","02:12:36.595","-13:42:11.14","SN IIP","0.05","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","BTDG","ATLAS; Pan-STARRS; ZTF","ZTF19achjqbk","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","Magellan-Clay - LDSS-3","1","1","","19.12","r-ZTF","2019-10-23 07:32:24.000","ZTF_AMPEL_NEW","","2019TNSTR2160....1N","2019TNSCR2528....1G",""
"46981","SN 2019tbb","02:30:10.604","+14:20:09.40","SN Ia","0.07","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF19acgbzam","P48 - ZTF-Cam, PS2 - GPC2","APO-3.5m - DIS","1","1","","19.35","r-ZTF","2019-10-20 07:01:16.000","ZTF_AMPEL_NEW","","2019TNSTR2160....1N","2019TNSCR2253....1D",""
"46980","SN 2019tba","04:55:09.840","-16:09:01.30","SN II","0.019894","","","ZTF, ALeRCE, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19acgzwbm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.87","r-ZTF","2019-10-22 10:58:04.000","ZTF_Bot1","","2019TNSTR2159....1F","2019TNSCR2184....1D",""
"46976","SN 2019taw","08:47:18.697","-14:56:27.46","SN Ia","0.056","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+, ZTF","ATLAS; ZTF","ZTF19acechlg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.74","g-ZTF","2019-10-09 12:02:52.000","ZTF_Bot1","","2019TNSTR2159....1F","2019TNSCR2192....1L, 2019TNSCR2889....1D",""
"46963","SN 2019tak","03:56:56.787","+15:44:59.31","SN Ia","0.086","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19acgcxop","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","19.25","r-ZTF","2019-10-19 08:55:20.000","ZTF_AMPEL_NEW","","2019TNSTR2148....1N","2020TNSCR3916....1Y",""
"46961","SN 2019tai","10:16:39.437","+34:32:50.83","SN Ia","0.106","","","ZTF","ZTF","ZTF","ZTF","ZTF19acbvquo","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.99","g-ZTF","2019-10-02 12:07:12.000","ZTF_Bot1","","2019TNSTR2146....1F","2019TNSCR2151....1D",""
"46960","SN 2019tah","03:55:10.132","+25:20:34.46","SN Ia","0.06","","","ZTF","ZTF","ZTF","ZTF","ZTF19acchtyp","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.07","r-ZTF","2019-10-03 09:12:57.000","ZTF_Bot1","","2019TNSTR2147....1F","2019TNSCR2152....1D",""
"46959","SN 2019tag","01:44:58.574","+15:32:40.31","SN Ia","0.0704","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF19acgmkrt","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.42","r-ZTF","2019-10-22 03:15:57.000","ZTF_AMPEL_NEW","","2019TNSTR2148....1N","2019TNSCR2586....1D",""
