"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"49062","SN 2019wch","06:40:37.251","+26:42:32.12","SN Ia","0.03","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19acuybzx","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.6","g-ZTF","2019-11-24 10:04:48.000","ZTF_Bot1","","2019TNSTR2534....1F","2019TNSCR2660....1D",""
"49041","SN 2019wbm","02:11:52.067","+28:18:31.21","SN Ia","0.07","","","ZTF","ZTF","ZTF","ZTF","ZTF19abtcapa","P48 - ZTF-Cam","P60 - SEDM","1","1","","17.99","r-ZTF","2019-12-02 03:29:13.000","ZTF_AMPEL_NEW","","2019TNSTR2527....1N","2020TNSCR..25....1D",""
"49033","SN 2019wbe","03:29:20.085","+37:50:29.04","SN Ia","0.06","SDSS J032920.25+375029.8","0.055","ALeRCE, ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF19acxhkvc","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.2574","g-ZTF","2019-12-03 05:22:09.000","ALeRCE","","2019TNSTR2508....1F","2019TNSCR2660....1D",""
"49032","SN 2019wbd","23:20:35.172","-00:52:51.07","SN II","0.01459","UM 158","0.014568","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19acxgwvo","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","LT - SPRAT","1","1","","17.8257","g-ZTF","2019-12-03 03:32:48.000","ALeRCE","","2019TNSTR2508....1F","2019TNSCR2715....1P",""
"49005","SN 2019wac","03:11:47.038","+38:27:39.21","SN Ia","0.06","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF19acwrujg","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.16","g-ZTF","2019-12-02 05:17:15.000","ZTF_AMPEL_COMPLETE","","2019TNSTR2514....1N","2019TNSCR2629....1D",""
"49003","SN 2019waa","00:51:39.020","+45:09:04.39","SN Ia","0.08","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF19acvwllm","Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.99","r-ZTF","2019-12-02 03:49:33.000","ZTF_AMPEL_COMPLETE","","2019TNSTR2514....1N","2019TNSCR2661....1T",""
"48982","SN 2019vzf","01:44:21.380","+50:06:55.94","SN Ia","0.06","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF19acwrqtv","Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.76","r-ZTF","2019-12-02 03:41:45.000","ZTF_TESS","","2019TNSTR2513....1F","2019TNSCR2661....1T",""
"48973","SN 2019vyw","08:12:00.633","+31:49:34.98","SN Ia","0.149","","","SGLF, Pan-STARRS","ZTF, Pan-STARRS","None","Pan-STARRS","SGLF2, ZTF19acsaoxd","P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","20.251","g-ZTF","2019-11-09 13:11:30.000","Perez-Fournon","","2019TNSTR2501....1P","2019TNSCR2505....1S",""
"48962","SN 2019vyl","23:11:09.399","+03:32:58.22","SN Ia","0.07","","","ZTF","ZTF","ZTF","ZTF","ZTF19acvgjme","P48 - ZTF-Cam","LT - SPRAT","1","1","","19.72","g-ZTF","2019-11-25 03:53:24.000","ZTF_AMPEL_NEW","","2019TNSTR2504....1N","2019TNSCR2661....1T",""
"48781","SN 2019vrm","00:20:18.301","-05:18:24.99","SN Ia","0.068","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ePESSTO+","Pan-STARRS; ZTF","ZTF19aculczm","P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.93","g-ZTF","2019-11-24 04:06:14.000","ZTF_Bot1","","2019TNSTR2472....1F","2019TNSCR2557....1I",""
