,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=10_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=10_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=10_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=10_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z,ann=10_spec_z
ZTF21abdauiq,ZTF21abdauiq,ZTF21abwufdm,ZTF21aaaovyi,ZTF20acmntog,ZTF19abljudj,ZTF21abamprv,ZTFabc00842,ZTF21abhyyjq,ZTF21abcmfax,ZTF21aayebgc,ZTF21abwtyle,0,7.3769,7.4491,7.5153,7.8978,8.0577,8.1228,8.1785,8.1961,8.2316,8.269,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,No_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,SN Ia,None,None,SN Ia,None,None,None,None,-99.0,-99.0,-99.0,0.09,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaplfah,ZTF21aaplfah,ZTF21aamwqim,ZTFabc60279,ZTFabc79220,ZTFabc64032,ZTFabc58333,ZTF20acukxat,ZTFabc95413,ZTFabc04959,ZTFabc80696,ZTFabc51059,0,8.6411,8.6593,8.7222,8.746,9.0053,9.025,9.0254,9.0289,9.0579,9.1116,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,SN Ia,SN II,SN II,SN II,SN II,SN II,SN Ia,SN Ia,SN Ia,SN II,SN II,0.0358,0.025878,-99.0,-99.0,-99.0,-99.0,0.0425460003,-99.0,-99.0,-99.0,-99.0
ZTF21aapomdb,ZTF21aapomdb,ZTFabc04055,ZTF20achtxbi,ZTFabc88351,ZTF21aaxyecd,ZTFabc30658,ZTFabc58302,ZTFabc73872,ZTFabc20301,ZTFabc36127,ZTFabc58337,0,5.0282,5.0485,5.3505,5.5503,5.5734,5.6114,5.6756,5.8571,5.9202,5.9204,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.07,-99.0,0.07,-99.0,0.061249,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acpayvy,ZTF20acpayvy,ZTF21aaglgcb,ZTFabc05256,ZTF21abvgprv,ZTFabc27801,ZTF21aaylydx,ZTFabc26912,ZTFabc60190,ZTF20acgqovm,ZTFabc74664,ZTFabc97303,0,4.7508,4.9544,5.2757,5.7112,6.0415,6.167,6.4272,6.5666,6.8287,6.9048,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,None,SN Ia,SN Ia,None,SN Ia,None,SN Ia,SN Ia,None,SN Ia,SN Ia-91T-like,-99.0,0.07,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acnvmbp,ZTF20acnvmbp,ZTF21abvgprv,ZTF20acmwfal,ZTF20actkupc,ZTF20acgqovm,ZTF18ablqjws,ZTF21aciodbt,ZTF21abwjprf,ZTF20acgywhr,ZTFabc08186,ZTF21aabgopk,0,6.1377,6.5753,7.1292,7.2132,7.2775,7.3651,7.8467,7.9392,7.9907,8.0493,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,None,None,None,None,None,None,None,None,None,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aahfjlo,ZTF21aahfjlo,ZTF21aagycrc,ZTF18adbiftk,ZTF20actoakx,ZTF21aagtcgb,ZTFabc83886,ZTF21aapkhsc,ZTFabc01687,ZTFabc74034,ZTFabc10722,ZTFabc31377,0,5.6383,6.8116,7.0754,7.222,7.3344,7.6493,7.7251,7.7276,7.7312,7.7317,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia-pec,SN Ia-pec,SN Ia-pec,0.039,0.068,-99.0,0.03,0.0375,-99.0,0.04,-99.0,-99.0,-99.0,-99.0
ZTF18adbhlet,ZTF18adbhlet,ZTFabc59909,ZTFabc99759,ZTFabc45079,ZTFabc29246,ZTFabc12554,ZTFabc08208,ZTFabc92035,ZTF20ackkejs,ZTF21aaoevvx,ZTFabc88351,0,4.8361,4.8383,4.9704,4.9906,5.0712,5.0734,5.0948,5.1289,5.1811,5.1866,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Yes_TNS,Fake,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.09171,-99.0,-99.0
ZTF20acufkdp,ZTF20acufkdp,ZTFabc06815,ZTFabc76759,ZTF21aamgvsy,ZTFabc91422,ZTFabc84458,ZTFabc01267,ZTFabc17828,ZTFabc43989,ZTFabc87583,ZTFabc05383,0,6.8879,6.9176,6.9464,7.1555,7.1566,7.158,7.1591,7.1594,7.1599,7.1609,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ia,SN Ia,None,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acripum,ZTF20acripum,ZTF21aaxxetp,ZTF21aaxtufg,ZTF21abasjcd,ZTF21aadrlyg,ZTF21aarzrst,ZTF21aakizvr,ZTF21abcfnqc,ZTF20acxnnyr,ZTF21aatjhqe,ZTF21aawstzk,0,5.5923,6.379,6.3867,6.4574,6.8335,7.0326,7.2723,7.327,7.3828,7.4426,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abcmepi,ZTF21abcmepi,ZTFabc53214,ZTF21aazqtor,ZTFabc72617,ZTFabc52216,ZTF20acwkbjm,ZTFabc29508,ZTFabc62828,ZTF21abuxnnv,ZTFabc74199,ZTF18aagtwyh,0,5.3768,5.4964,5.5766,6.1062,6.2077,6.3723,6.3868,6.397,6.4335,6.453,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,None,SN Ia,SN Ia,0.089,-99.0,0.0954,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.066041
