ztf_object_id,has_tns,tns_cls,spec_z,report_group
ZTF20acpdyyq,No_TNS,None,-99.0,None
ZTF18acfvwwa,No_TNS,None,-99.0,None
ZTF17aaaskvj,No_TNS,None,-99.0,None
ZTF18aczbnhl,No_TNS,None,-99.0,None
ZTF18actbhqt,No_TNS,None,-99.0,None
ZTF20aciscxz,No_TNS,None,-99.0,None
ZTF18abeqwuu,No_TNS,None,-99.0,None
ZTF18aajecsm,No_TNS,None,-99.0,None
ZTF21aacvpsp,No_TNS,None,-99.0,None
ZTF18acbxzmb,Yes_TNS,None,-99.0,ZTF
ZTF18abdkosj,No_TNS,None,-99.0,None
ZTF18abidlbp,No_TNS,None,-99.0,None
ZTF18abtjlga,Yes_TNS,None,-99.0,ZTF
ZTF18acbufud,Yes_TNS,SN Ia,0.084,ZTF
ZTF19aakzsci,No_TNS,None,-99.0,None
ZTF18abrcoty,No_TNS,None,-99.0,None
ZTF19aakrmlu,No_TNS,None,-99.0,None
ZTF18abavhsw,No_TNS,None,-99.0,None
ZTF18abidtjv,No_TNS,None,-99.0,None
ZTF18absqprp,No_TNS,None,-99.0,None
ZTF19aalowml,No_TNS,None,-99.0,None
ZTF18adaivrg,No_TNS,None,-99.0,None
ZTF18abidwyh,No_TNS,None,-99.0,None
ZTF18adakuzm,No_TNS,None,-99.0,None
ZTF18abieasr,No_TNS,None,-99.0,None
ZTF18abieavi,No_TNS,None,-99.0,None
ZTF18acfvckv,No_TNS,None,-99.0,None
ZTF19aathlow,No_TNS,None,-99.0,None
ZTF18abihoas,No_TNS,None,-99.0,None
ZTF19aabzvzg,No_TNS,None,-99.0,None
ZTF20acxsnpk,Yes_TNS,None,-99.0,ZTF
ZTF18aamlrbe,No_TNS,None,-99.0,None
ZTF21aabysce,No_TNS,None,-99.0,None
ZTF18acnloru,No_TNS,None,-99.0,None
ZTF20aawbtkd,No_TNS,None,-99.0,None
ZTF19aaaorbp,No_TNS,None,-99.0,None
ZTF20acyxfkg,No_TNS,None,-99.0,None
ZTF21aamefyu,No_TNS,None,-99.0,None
ZTF19aaetdss,No_TNS,None,-99.0,None
ZTF18abjhdfd,No_TNS,None,-99.0,None
ZTF19abqehff,No_TNS,None,-99.0,None
ZTF18abbezfh,No_TNS,None,-99.0,None
ZTF19aapgbjg,No_TNS,None,-99.0,None
ZTF19abofleo,No_TNS,None,-99.0,None
ZTF21aadmkay,No_TNS,None,-99.0,None
ZTF17aadikvt,No_TNS,None,-99.0,None
ZTF18aclieqo,No_TNS,None,-99.0,None
ZTF18abayutk,No_TNS,None,-99.0,None
ZTF19aatuwmy,No_TNS,None,-99.0,None
ZTF18acainyi,No_TNS,None,-99.0,None
ZTF18aaalajb,No_TNS,None,-99.0,None
ZTF20acuvwpm,No_TNS,None,-99.0,None
ZTF18abdkcke,No_TNS,None,-99.0,None
ZTF18abusplv,No_TNS,None,-99.0,None
ZTF19abkuzvn,No_TNS,None,-99.0,None
ZTF18acbuuer,No_TNS,None,-99.0,None
ZTF18abhsrbd,No_TNS,None,-99.0,None
ZTF20aclbfmu,No_TNS,None,-99.0,None
ZTF17aacxwga,No_TNS,None,-99.0,None
ZTF19aadttli,No_TNS,None,-99.0,None
ZTF21aahpiui,No_TNS,None,-99.0,None
ZTF19aaorule,No_TNS,None,-99.0,None
ZTF18abfbmnv,No_TNS,None,-99.0,None
ZTF19aamaeve,Yes_TNS,SN Ia,0.072,ATLAS
ZTF18aatyazc,No_TNS,None,-99.0,None
ZTF18aakjxax,No_TNS,None,-99.0,None
ZTF18abzzcro,No_TNS,None,-99.0,None
ZTF19aatgrpm,Yes_TNS,SN Ia,0.08033,ZTF
ZTF18abgopru,No_TNS,None,-99.0,None
ZTF18accybpc,No_TNS,None,-99.0,None
ZTF18abjnulv,No_TNS,None,-99.0,None
ZTF18abhwbzt,No_TNS,None,-99.0,None
ZTF21aachrkk,No_TNS,None,-99.0,None
ZTF19aarzfoz,Yes_TNS,None,-99.0,ZTF
ZTF20accrxmy,No_TNS,None,-99.0,None
ZTF20acwrnoe,Yes_TNS,None,-99.0,ZTF
ZTF19aaawiir,No_TNS,None,-99.0,None
ZTF18abvlumw,No_TNS,None,-99.0,None
ZTF18aaptcjg,No_TNS,None,-99.0,None
ZTF20acxuxdd,Yes_TNS,None,-99.0,ZTF
ZTF18abhyuss,No_TNS,None,-99.0,None
ZTF18aatckag,No_TNS,None,-99.0,None
ZTF18acmtefp,No_TNS,None,-99.0,None
ZTF19aaqffad,Yes_TNS,None,-99.0,ZTF
ZTF18acgstmw,No_TNS,None,-99.0,None
ZTF18aarnrsg,No_TNS,None,-99.0,None
ZTF18aahqtqd,No_TNS,None,-99.0,None
ZTF18abszlqh,No_TNS,None,-99.0,None
ZTF18aaocotd,No_TNS,None,-99.0,None
ZTF18aanuvsq,No_TNS,None,-99.0,None
ZTF18abteubw,No_TNS,None,-99.0,None
ZTF18abajwza,No_TNS,None,-99.0,None
ZTF18abjupnb,No_TNS,None,-99.0,None
ZTF18acdzyog,No_TNS,None,-99.0,None
ZTF18abkdogx,No_TNS,None,-99.0,None
ZTF18abbuiql,No_TNS,None,-99.0,None
ZTF18accyjle,No_TNS,None,-99.0,None
ZTF18acgxceq,No_TNS,None,-99.0,None
ZTF20aagvgbv,No_TNS,None,-99.0,None
ZTF21aasfdps,Yes_TNS,None,-99.0,Pan-STARRS
ZTF18aanwveg,No_TNS,None,-99.0,None
ZTF19aaaemca,No_TNS,None,-99.0,None
ZTF18aapnfro,No_TNS,None,-99.0,None
ZTF19aackjtx,No_TNS,None,-99.0,None
ZTF19aardovm,No_TNS,None,-99.0,None
ZTF18abvmtpk,No_TNS,None,-99.0,None
ZTF20aamigsk,No_TNS,None,-99.0,None
ZTF21aagtmgz,No_TNS,None,-99.0,None
ZTF18abeysxb,No_TNS,None,-99.0,None
ZTF20acxfyfs,No_TNS,None,-99.0,None
ZTF21aaamuhf,No_TNS,None,-99.0,None
ZTF19abjwmjj,No_TNS,None,-99.0,None
ZTF18abnjuoz,No_TNS,None,-99.0,None
ZTF18abucnsm,No_TNS,None,-99.0,None
ZTF18abyvexm,No_TNS,None,-99.0,None
ZTF18ablrmdp,No_TNS,None,-99.0,None
ZTF19abepfwv,No_TNS,None,-99.0,None
ZTF18acfkmbr,No_TNS,None,-99.0,None
ZTF20acxbskl,Yes_TNS,None,-99.0,ZTF
ZTF18abssdpi,Yes_TNS,SN Ia,0.1,ZTF
ZTF19aackjsr,No_TNS,None,-99.0,None
ZTF18aamusfl,No_TNS,None,-99.0,None
ZTF20aaicvrz,No_TNS,None,-99.0,None
ZTF18aakjsmb,No_TNS,None,-99.0,None
ZTF18acpcokw,No_TNS,None,-99.0,None
ZTF19aaauwsh,No_TNS,None,-99.0,None
ZTF19aaftwvb,No_TNS,None,-99.0,None
ZTF19aaycdyh,No_TNS,None,-99.0,None
ZTF18acbvdyw,No_TNS,None,-99.0,None
ZTF18aardhrz,No_TNS,None,-99.0,None
ZTF19aatgxrp,Yes_TNS,None,-99.0,ZTF
ZTF21aaqojqu,Yes_TNS,None,-99.0,ALeRCE
ZTF18abkqrdb,No_TNS,None,-99.0,None
ZTF19aaltwmf,No_TNS,None,-99.0,None
ZTF18aaoygnk,No_TNS,None,-99.0,None
ZTF19acyozax,No_TNS,None,-99.0,None
ZTF18abmxahs,Yes_TNS,SN Ia,0.0148,ZTF
ZTF19aasalud,No_TNS,None,-99.0,None
ZTF18aazdsts,No_TNS,None,-99.0,None
ZTF18abkygem,No_TNS,None,-99.0,None
ZTF18absvcae,Yes_TNS,None,-99.0,AMPEL
ZTF18acvgqrd,No_TNS,None,-99.0,None
ZTF18achopwl,No_TNS,None,-99.0,None
ZTF18abgokeb,No_TNS,None,-99.0,None
ZTF18abftdrt,No_TNS,None,-99.0,None
ZTF18acgpazw,No_TNS,None,-99.0,None
ZTF18aagrpba,No_TNS,None,-99.0,None
ZTF18abhqnof,No_TNS,None,-99.0,None
ZTF18acqzdlx,No_TNS,None,-99.0,None
ZTF19aamaaos,No_TNS,None,-99.0,None
ZTF18achkvhc,No_TNS,None,-99.0,None
ZTF19aatdths,Yes_TNS,None,-99.0,ZTF
ZTF18acbveab,No_TNS,None,-99.0,None
ZTF18actauor,No_TNS,None,-99.0,None
ZTF18abieecm,No_TNS,None,-99.0,None
ZTF18acehtse,No_TNS,None,-99.0,None
ZTF19aatgheu,Yes_TNS,None,-99.0,ZTF
ZTF19aatgsdl,Yes_TNS,SN Ia,0.08,ZTF
ZTF18acybcym,No_TNS,None,-99.0,None
ZTF18abkmwez,No_TNS,None,-99.0,None
ZTF20abosint,No_TNS,None,-99.0,None
ZTF19aackhzv,No_TNS,None,-99.0,None
ZTF19aayogzn,Yes_TNS,SN Ia,0.06965,ZTF
ZTF18aceajwu,No_TNS,None,-99.0,None
ZTF18abtvizt,No_TNS,None,-99.0,None
ZTF18acfcpdi,No_TNS,None,-99.0,None
ZTF18aaxfqpw,No_TNS,None,-99.0,None
ZTF20acirift,No_TNS,None,-99.0,None
ZTF18acsldvr,No_TNS,None,-99.0,None
ZTF20acqllmv,No_TNS,None,-99.0,None
ZTF18abjixya,No_TNS,None,-99.0,None
ZTF17aacfchd,No_TNS,None,-99.0,None
ZTF18acskryx,No_TNS,None,-99.0,None
ZTF18abyituf,No_TNS,None,-99.0,None
ZTF18acgftne,No_TNS,None,-99.0,None
ZTF18acbwpcn,No_TNS,None,-99.0,None
ZTF18achqxiw,No_TNS,None,-99.0,None
ZTF18accsslz,No_TNS,None,-99.0,None
ZTF18aanvajj,No_TNS,None,-99.0,None
ZTF20abhtykr,No_TNS,None,-99.0,None
ZTF18ackeyup,No_TNS,None,-99.0,None
ZTF18achkkuf,No_TNS,None,-99.0,None
ZTF20ablrdtq,No_TNS,None,-99.0,None
ZTF19acmxelf,No_TNS,None,-99.0,None
ZTF18ablqski,No_TNS,None,-99.0,None
ZTF18absokge,No_TNS,None,-99.0,None
ZTF20aanrcfe,No_TNS,None,-99.0,None
ZTF18abyzksx,Yes_TNS,SN Ia,0.1,ZTF
ZTF19actiamy,No_TNS,None,-99.0,None
ZTF19aaapyfv,No_TNS,None,-99.0,None
ZTF18abqwstw,No_TNS,None,-99.0,None
ZTF18absqjft,No_TNS,None,-99.0,None
